name,type,x,y,z,roll,pitch,yaw
cone_right1,yellow,-0.0,1.6500000000000004,0.0,0.0,0.0,0.0
cone_right2,yellow,-2.860558656929046,2.2190004944781316,0.0,0.0,0.0,0.0
cone_right3,yellow,-5.285623189369442,3.839376810630557,0.0,0.0,0.0,0.0
cone_right4,yellow,-6.905999505521868,6.264441343070954,0.0,0.0,0.0,0.0
cone_right5,yellow,-7.475,9.125,0.0,0.0,0.0,0.0
cone_right6,yellow,-6.905999505521868,11.985558656929046,0.0,0.0,0.0,0.0
cone_right7,yellow,-5.285623189369443,14.410623189369442,0.0,0.0,0.0,0.0
cone_right8,yellow,-2.860558656929047,16.03099950552187,0.0,0.0,0.0,0.0
cone_right9,yellow,-9.154234823626465e-16,16.6,0.0,0.0,0.0,0.0
cone_right10,yellow,2.860558656929045,16.03099950552187,0.0,0.0,0.0,0.0
cone_right11,yellow,5.285623189369442,14.410623189369444,0.0,0.0,0.0,0.0
cone_right12,yellow,6.905999505521867,11.98555865692905,0.0,0.0,0.0,0.0
cone_right13,yellow,7.475,9.125000000000002,0.0,0.0,0.0,0.0
cone_right14,yellow,6.9059995055218675,6.264441343070953,0.0,0.0,0.0,0.0
cone_right15,yellow,5.285623189369444,3.839376810630559,0.0,0.0,0.0,0.0
cone_right16,yellow,2.8605586569290504,2.2190004944781334,0.0,0.0,0.0,0.0
cone_right17,yellow,7.619075567285049,-1.5059244327149495,0.0,0.0,0.0,0.0
cone_right18,yellow,9.954801962809116,-5.001586016266157,0.0,0.0,0.0,0.0
cone_right19,yellow,10.775,-9.125,0.0,0.0,0.0,0.0
cone_right20,yellow,9.954801962809116,-13.248413983733842,0.0,0.0,0.0,0.0
cone_right21,yellow,7.6190755672850505,-16.744075567285048,0.0,0.0,0.0,0.0
cone_right22,yellow,4.123413983733844,-19.079801962809114,0.0,0.0,0.0,0.0
cone_right23,yellow,1.3195569260812732e-15,-19.9,0.0,0.0,0.0,0.0
cone_right24,yellow,-4.123413983733841,-19.079801962809114,0.0,0.0,0.0,0.0
cone_right25,yellow,-7.619075567285049,-16.74407556728505,0.0,0.0,0.0,0.0
cone_right26,yellow,-9.954801962809112,-13.248413983733847,0.0,0.0,0.0,0.0
cone_right27,yellow,-10.775,-9.125000000000002,0.0,0.0,0.0,0.0
cone_right28,yellow,-9.954801962809114,-5.001586016266155,0.0,0.0,0.0,0.0
cone_right29,yellow,-7.619075567285051,-1.5059244327149521,0.0,0.0,0.0,0.0
cone_left1,blue,-7.619075567285049,1.5059244327149495,0.0,0.0,0.0,0.0
cone_left2,blue,-9.954801962809116,5.001586016266157,0.0,0.0,0.0,0.0
cone_left3,blue,-10.775,9.125,0.0,0.0,0.0,0.0
cone_left4,blue,-9.954801962809116,13.248413983733842,0.0,0.0,0.0,0.0
cone_left5,blue,-7.6190755672850505,16.744075567285048,0.0,0.0,0.0,0.0
cone_left6,blue,-4.123413983733844,19.079801962809114,0.0,0.0,0.0,0.0
cone_left7,blue,-1.3195569260812732e-15,19.9,0.0,0.0,0.0,0.0
cone_left8,blue,4.123413983733841,19.079801962809114,0.0,0.0,0.0,0.0
cone_left9,blue,7.619075567285049,16.74407556728505,0.0,0.0,0.0,0.0
cone_left10,blue,9.954801962809112,13.248413983733847,0.0,0.0,0.0,0.0
cone_left11,blue,10.775,9.125000000000002,0.0,0.0,0.0,0.0
cone_left12,blue,9.954801962809114,5.001586016266155,0.0,0.0,0.0,0.0
cone_left13,blue,7.619075567285051,1.5059244327149521,0.0,0.0,0.0,0.0
cone_left14,blue,0.0,-1.6500000000000004,0.0,0.0,0.0,0.0
cone_left15,blue,2.860558656929046,-2.2190004944781316,0.0,0.0,0.0,0.0
cone_left16,blue,5.285623189369442,-3.839376810630557,0.0,0.0,0.0,0.0
cone_left17,blue,6.905999505521868,-6.264441343070954,0.0,0.0,0.0,0.0
cone_left18,blue,7.475,-9.125,0.0,0.0,0.0,0.0
cone_left19,blue,6.905999505521868,-11.985558656929046,0.0,0.0,0.0,0.0
cone_left20,blue,5.285623189369443,-14.410623189369442,0.0,0.0,0.0,0.0
cone_left21,blue,2.860558656929047,-16.03099950552187,0.0,0.0,0.0,0.0
cone_left22,blue,9.154234823626465e-16,-16.6,0.0,0.0,0.0,0.0
cone_left23,blue,-2.860558656929045,-16.03099950552187,0.0,0.0,0.0,0.0
cone_left24,blue,-5.285623189369442,-14.410623189369444,0.0,0.0,0.0,0.0
cone_left25,blue,-6.905999505521867,-11.98555865692905,0.0,0.0,0.0,0.0
cone_left26,blue,-7.475,-9.125000000000002,0.0,0.0,0.0,0.0
cone_left27,blue,-6.9059995055218675,-6.264441343070953,0.0,0.0,0.0,0.0
cone_left28,blue,-5.285623189369444,-3.839376810630559,0.0,0.0,0.0,0.0
cone_left29,blue,-2.8605586569290504,-2.2190004944781334,0.0,0.0,0.0,0.0
cone_orange1,orange,-11.25,1.65,0.0,0.0,0.0,0.0
cone_orange2,orange,-11.25,-1.65,0.0,0.0,0.0,0.0
cone_orange3,orange,-15.0,1.65,0.0,0.0,0.0,0.0
cone_orange4,orange,-15.0,-1.65,0.0,0.0,0.0,0.0
cone_orange5,orange,11.0,1.65,0.0,0.0,0.0,0.0
cone_orange6,orange,11.0,-1.65,0.0,0.0,0.0,0.0
cone_orange7,orange,16.0,1.65,0.0,0.0,0.0,0.0
cone_orange8,orange,16.0,-1.65,0.0,0.0,0.0,0.0
cone_orange9,orange,21.0,1.65,0.0,0.0,0.0,0.0
cone_orange10,orange,21.0,-1.65,0.0,0.0,0.0,0.0
cone_orange11,orange,21.0,0.0,0.0,0.0,0.0,0.0
cone_orange12,orange,21.0,1.65,0.0,0.0,0.0,0.0
cone_orange_big1,orange_big,-1.3,2.0,0.0,0.0,0.0,0.0
cone_orange_big2,orange_big,-1.3,-2.0,0.0,0.0,0.0,0.0
cone_orange_big3,orange_big,1.3,2.0,0.0,0.0,0.0,0.0
cone_orange_big4,orange_big,1.3,-2.0,0.0,0.0,0.0,0.0
